group,signal,kind,left,right,rows,flight_weight
KRDU/train,raw,speed_mps,108.0,110.0,25112,127.54775633167083
KRDU/train,raw,speed_mps,110.0,112.0,26105,128.79759212982844
KRDU/train,raw,speed_mps,112.0,114.0,26244,123.30826894063921
KRDU/train,raw,speed_mps,114.0,116.0,26358,121.08899664159617
KRDU/train,raw,speed_mps,116.0,118.0,26020,112.92440600877308
KRDU/train,raw,speed_mps,118.0,120.0,28097,113.105845652075
KRDU/train,raw,speed_mps,120.0,122.0,29455,112.84990823906992
KRDU/train,raw,speed_mps,122.0,124.0,28428,106.11581572264095
KRDU/train,raw,speed_mps,124.0,126.0,26071,96.5011463191031
KRDU/train,raw,speed_mps,126.0,128.0,23514,86.28583705156234
KRDU/train,raw,speed_mps,128.0,130.0,22508,81.8038333045306
KRDU/train,raw,speed_mps,130.0,132.0,21849,78.91995105237129
KRDU/train,raw,speed_mps,132.0,134.0,19696,70.98502044887755
KRDU/train,raw,speed_mps,134.0,136.0,17391,62.523328385962486
KRDU/train,raw,speed_mps,136.0,138.0,15801,56.8866585861706
KRDU/train,raw,speed_mps,138.0,140.0,14894,54.06816997947317
KRDU/train,raw,speed_mps,140.0,142.0,13611,48.547028763902745
KRDU/train,raw,speed_mps,142.0,144.0,12708,44.77999318978891
KRDU/train,raw,speed_mps,144.0,146.0,11648,40.01146225802313
KRDU/train,raw,speed_mps,146.0,148.0,10863,37.11980542823858
KRDU/train,raw,speed_mps,148.0,150.0,10045,33.94757334782753
KRDU/train,raw,speed_mps,150.0,152.0,9378,31.31837182802974
KRDU/train,raw,speed_mps,152.0,154.0,7849,26.008509807941664
KRDU/train,raw,speed_mps,154.0,156.0,6737,22.44907506693835
KRDU/train,raw,speed_mps,156.0,158.0,5604,18.70606720787964
KRDU/train,raw,speed_mps,158.0,160.0,3783,12.592671246287864
KRDU/train,raw,speed_mps,160.0,162.0,2309,7.605222715865239
KRDU/train,raw,speed_mps,162.0,164.0,1408,4.649662586665727
KRDU/train,raw,speed_mps,164.0,166.0,837,2.785962357639619
KRDU/train,raw,speed_mps,166.0,168.0,375,1.2439680615379984
KRDU/train,raw,speed_mps,168.0,170.0,207,0.6948402713687756
KRDU/train,raw,speed_mps,170.0,172.0,104,0.3524050749028902
KRDU/train,raw,speed_mps,172.0,174.0,85,0.2895660129515818
KRDU/train,raw,speed_mps,174.0,176.0,61,0.20687984762480482
