fleet_rows_observed,ICAO_Code,FAA_Designator,Manufacturer,Model_FAA,Model_BADA,Physical_Class_Engine,Num_Engines,AAC,AAC_minimum,AAC_maximum,ADG,TDG,Approach_Speed_knot,Approach_Speed_minimum_knot,Approach_Speed_maximum_knot,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,MTOW_lb,MALW_lb,Main_Gear_Config,ICAO_WTC,Parking_Area_ft2,Class,FAA_Weight,CWT,One_Half_Wake_Category,Two_Wake_Category_Appx_A,Two_Wake_Category_Appx_B,Rotor_Diameter_ft,SRS,LAHSO,FAA_Registry,Registration_Count,TMFS_Operations_FY24,Remarks,LastUpdate
43,CRJ2,CRJ2,CANADAIR,canadair CRJ-200,Canadair CRJ-200,Jet,2,D,,,II,1B,141,,,68.7,,87.8,20.8,37.4,37.4,13.3,47450,44700,D,Medium,7302.9,Fixed-wing,Large,G,E,D,D,,III,7,Yes ,511,431708,AAC validated by Flight Standardization Board (FSB) report.,
35,C525,C525,CESSNA,Cessna CitationJet/CJ1,Cessna Citation CJ1+,Jet,2,B,,,I,1A,108,,,46.9,,42.6,13.8,15.3,15.3,13,10700,9900,S,Light,2708.3,Fixed-wing,Small,I,F,F,F,,III,7,Yes,116,147436,AAC validated by Flight Standardization Board (FSB) report.,
35,GL5T,GL5T,BOMBARDIER,Bombardier BD-700 Global 5000,Bombardier Global 5000,Jet,2,C,,,III,2B,128,,,94,,96.8,25.5,48.4,41.9,16,92500,78600,D,Medium,10590.7,Fixed-wing,Large,F,D,D,C,,III,7,Yes,121,38454,AAC validated by Flight Standardization Board (FSB) report.,
33,B789,B789,BOEING,Boeing 787-9 Dreamliner,Boeing B787-9,Jet,2,D,C,D,V,5,144,140,144,197.3,,206.1,56.1,84.8,93.4,38.9,560000,425000,2D,Heavy,43747,Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,68,160374,"Depending on configurations and performance packages, AAC could be C. AAC validated by Flight Standardization Board (FSB) report.",
33,C550,C550,CESSNA,Cessna Citation II/Bravo,Cessna Citation II,Jet,2,B,,,II,2A,105,,,51.7,,47.3,15,18.2,18.5,17.600000000000001,15100,13500,S,Light,3226.9,Fixed-wing,Small+,I,F,F,F,,III,7,Yes,565,82582,"According to FSB data, If flaps configuration is set for 15 or 20 degrees (not full flaps), AAC is C. ",
27,A332,A332,AIRBUS,Airbus A330-200,Airbus A330-243,Jet,2,C,,,V,5,136,,,197.8,,193.6,59.8,72.8,86.8,41.4,533519,401241,2D,Heavy,41268.800000000003,Fixed-wing,Heavy,B,B,B,A,,III,8,Yes,77,85798,AAC validated by Flight Standardization Board (FSB) report.,
26,A359,A359,AIRBUS,Airbus 350-900,Airbus A350-941,Jet,2,C,,,V,5,140,,,,212.43,218.54,57.3,94.03,97.7,42.22,617295,456357,2D,Heavy,49856.9,Fixed-wing,Heavy,B,B,B,A,,III,10,Yes,28,83162,AAC validated by Flight Standardization Board (FSB) report.,45571
25,B734,B734,BOEING,Boeing 737-400,Boeing B737-400E,Jet,2,C,,,III,3,139,,,94.8,,119.6,36.299999999999997,46.8,52.1,20.9,150000,123700,D,Medium,13049.8,Fixed-wing,Large,F,D,D,C,,III,8,Yes,55,34514,AAC validated by Flight Standardization Board (FSB) report.,
10,B762,B762,BOEING,Boeing 767-200,Boeing B767-200,Jet,2,C,,,IV,5,135,,,156.1,,159.19999999999999,52.9,64.599999999999994,72.099999999999994,35.799999999999997,315000,260000,2D,Heavy,27265.3,Fixed-wing,Heavy,C,C,C,B,,III,9,Yes,65,50342,,
5,E145,E145,EMBRAER,Embraer ERJ-145,Embraer EMB-145LR,Jet,2,C,,,II,2B,124,,,65.8,,98,22.2,47.4,47.4,15.7,48502,41226,D,Medium,7802.3,Fixed-wing,Large,G,E,D,D,,III,7,Yes,379,446494,,
1,A343,A343,AIRBUS,Airbus A340-300,Airbus A340-313,Jet,4,D,,,V,5,145,,,197.8,,209,55.7,83.3,97.3,41.4,609578,423288,2D/D1,Heavy,44467.3,Fixed-wing,Heavy,B,B,B,A,,III,9,Yes,1,7960,,
1,B77W,B77W,BOEING,Boeing 777-300ER,Boeing B777-300ER,Jet,2,D,,,V,6,149,,,212.6,,242.3,61.8,102.4,114.4,42.3,775000,554000,3D,Heavy,55052.3,Fixed-wing,Heavy,B,B,B,A,,III,7,Yes,51,170308,AAC validated by Flight Standardization Board (FSB) report.,
1,B735,B735,BOEING,Boeing 737-500,Boeing B737-500,Jet,2,C,,,III,3,128,,,94.8,,101.8,36.299999999999997,36.299999999999997,41.6,20.9,136000,110000,D,Medium,11182.1,Fixed-wing,Large,F,D,D,C,,III,7,Yes,22,2210,AAC validated by Flight Standardization Board (FSB) report.,
