# source: ICAO Aircraft Engine Emissions Databank, issue 32 (20 March 2026), EASA-hosted, sheet 'Gaseous Emissions and Smoke'
# file edb-emissions-databank_v32__web_.xlsx sha256 57a9ff572458ad3a3141afc1aea932b5faa5796d279f0ac74600b27869302530
# engine designations per type: EASA TCDSN via the ANP substitution table 'by aircraft configuration' (ENGINE_TYPE column), else APD 'Power plant'
# match = exact designation (after removing a trailing '(...)' installation suffix); family = hand-checked reading, see README
typecode,engine_designation,match,UID No,Engine Identification,Rated Thrust (kN),Eng Type,B/P Ratio,Data Superseded,Current Engine Status
MD82,JT8D-217A,exact,4PW069,JT8D-217A,92.74,MTF,1.73,,Out of production
MD82,JT8D-217C,exact,4PW070,JT8D-217C,92.74,MTF,1.7,,Out of production
MD82,JT8D-219,exact,1PW019,JT8D-219,96.52,MTF,1.7,,Out of production
MD82,JT8D-219,exact,4PW071,JT8D-219,96.52,MTF,1.7,,Out of production
MD83,JT8D-217,exact,4PW068,JT8D-217,92.74,MTF,1.73,,Out of production
MD83,JT8D-217,exact,1PW018,JT8D-217 series,92.74,MTF,1.73,,Out of production
MD83,JT8D-217A,exact,4PW069,JT8D-217A,92.74,MTF,1.73,,Out of production
MD83,JT8D-217C,exact,4PW070,JT8D-217C,92.74,MTF,1.7,,Out of production
MD83,JT8D-219,exact,1PW019,JT8D-219,96.52,MTF,1.7,,Out of production
MD83,JT8D-219,exact,4PW071,JT8D-219,96.52,MTF,1.7,,Out of production
MD88,JT8D-217A,exact,4PW069,JT8D-217A,92.74,MTF,1.73,,Out of production
MD88,JT8D-217C,exact,4PW070,JT8D-217C,92.74,MTF,1.7,,Out of production
MD88,JT8D-219,exact,1PW019,JT8D-219,96.52,MTF,1.7,,Out of production
MD88,JT8D-219,exact,4PW071,JT8D-219,96.52,MTF,1.7,,Out of production
